clp,Cleveland Panthers,1920,0,,,,,
dpn,Detroit Panthers,1925-1926,0,,,,,
nwe,Boston Patriots,1960-1970,0,,,,,
cwp,Columbus Wagner Pirates,1920,0,,,,,
pit,Pittsburgh Pirates,1933-1939,0,,,,,
akr,Akron Pros,1920-1925,0,,,,,
ham,Hammond Pros,1920-1926,0,,,,,
ptq,Pitcairn Quakers,1920,0,,,,,
rai,Oakland Raiders,1960-2019,0,,,,,
rai,Los Angeles Raiders,1982-1994,0,,,,,
ram,Cleveland Rams,1937-1945,0,,,,,
ram,St. Louis Rams,1995-2015,0,,,,,
bff,Buffalo Rangers,1926,0,,,,,
mnn,Minneapolis Red Jackets,1929-1930,0,,,,,
red,Cincinnati Reds,1933-1934,0,,,,,
was,Boston Redskins,1933-1936,0,,,,,
was,Washington Redskins,1937-2019,0,,,,,
cra,Chicago Rockets,1946-1948,0,,,,,
ros,Rochester Scalpers,1920,0,,,,,
msa,Miami Seahawks,1946,0,,,,,
sen,Washington Senators,1921,0,,,,,
det,Portsmouth Spartans,1930-1933,0,,,,,
chi,Decatur Staleys,1920,0,,,,,
chi,Chicago Staleys,1921,0,,,,,
sis,Staten Island Stapletons,1929-1932,0,,,,,
syr,Syracuse Stars,1920,0,,,,,
cst,Chicago Stayms,1920,0,,,,,
prv,Providence Steam Roller,1925-1931,0,,,,,
whe,Wheeling Stogies,1920,0,,,,,
dtx,Dallas Texans,1952,0,,,,,
kan,Dallas Texans,1960-1962,0,,,,,
pul,Pullman Thorns,1920,0,,,,,
bkn,Brooklyn Tigers,1944,0,,,,,
cht,Chicago Tigers,1920,0,,,,,
col,Columbus Tigers,1923-1926,0,,,,,
cti,Cleveland Tigers,1920,0,,,,,
dti,Detroit Tigers,1921,0,,,,,
nyj,New York Titans,1960-1962,0,,,,,
rac,Racine Tornadoes,1926,0,,,,,
tor,Orange Tornadoes,1929,0,,,,,
tor,Newark Tornadoes,1930,0,,,,,
tho,Thorn Tornados,1920,0,,,,,
day,Dayton Triangles,1920-1929,0,,,,,
mut,Moline Universal Tractors,1920,0,,,,,
kew,Kewanee Walworths,1920,0,,,,,
dwl,Detroit Wolverines,1928,0,,,,,
naa,New York Yankees,1946-1949,0,,,,,
nya,New York Yankees,1927-1928,0,,,,,
byk,Boston Yanks,1944-1948,0,,,,,
nyy,New York Yanks,1950-1951,0,,,,,
byk,Bos/Bkn Yanks/Tigers,1945,0,,,,,
fyj,Frankford Yellow Jackets,1924-1931,0,,,,,
